Unnamed: 0,st_id,st_name,st_genre1,st_genre2,st_genre3,st_genre4,popularity,followers,related_found,artist_group,index_community
2517,3xPpQCRiTBxgmL4PD8J5ek,Jimmy Dorsey,big band,jazz clarinet,swing,,30.0,46189.0,5.0,,5
2518,30Mx3ZadPgGZTcs38FvYP8,Paquito D'Rivera,jazz cubano,latin jazz,,,38.0,39795.0,5.0,,5
2519,1LmOdFsLcEoF81L9E9iRjg,Kan Jong Wook,,,,,2.0,310.0,5.0,,1
2520,4vsTrZ8Y7nKqQM0BJQ6Dvd,Kim Yeon Woo,korean pop,,,,32.0,28840.0,15.0,,1
2521,0cjmflludS9qXDRQr2cp4J,Phương Mai,,,,,6.0,10.0,0.0,,3
2522,3f7Dr7qtAJutrBV8mjozhh,Hạnh Sino,,,,,12.0,52.0,20.0,Pop sến loại 1,3
2523,6uPQqRyJMiXn3lHCh0oJIt,Cuong Seven,,,,,10.0,1991.0,17.0,,3
2524,5eYwwRqyfCWgekjL2Jr9YD,Trọng Phúc,,,,,6.0,290.0,12.0,,10
2525,5EDmroofher08GWjPu2k3j,Trung Hau,,,,,1.0,62.0,9.0,,10
2526,5ur6Qs0yDkCitPhvvi4AK5,Từ Hiền Trang,,,,,2.0,73.0,17.0,,3
2527,2jaOpr7Go1avixlg1lfJOb,Sissel,classic norwegian pop,operatic pop,,,42.0,46111.0,9.0,,8
2528,7iIgJB2PSutn6IYzwdTomh,Claire Martin,contemporary vocal jazz,vocal jazz,,,27.0,3504.0,3.0,,5
2529,4XepUkisa56DUeA3gbjDQD,Jelly Roll Morton,big band,boogie-woogie,dixieland,harlem renaissance,33.0,37462.0,5.0,,5
2530,6zpPKMhpOoG646kJgZ7RKf,Johnny Hates Jazz,mellow gold,new romantic,new wave,new wave pop,51.0,176190.0,9.0,,4
2531,3DmG65yHQsMms7WAvrZOdt,Enigma,downtempo,new age,,,60.0,702822.0,11.0,,8
2532,3iCEJiyLrmF5bHH6w1vIz6,Amethystium,new age,,,,37.0,48485.0,4.0,,8
2533,0Vu5WrZvGftFn4uBeA9mde,Kim Chang Wan,,,,,12.0,1.0,0.0,,1
2534,1FQv3rI4iJPitbZiTxBGut,Agent Steel,melodic thrash,metal,neo-trad metal,nwothm,27.0,33598.0,4.0,,4
2535,51RhhfE78ZBA6Ht6NfMyvD,Khôi Minh,,,,,0.0,1.0,0.0,,10
2536,0pIMGVWw7sXMSU9VlURZ7x,Phương Nga,,,,,0.0,31.0,0.0,,10
2537,6dYm0i4voJXVX9rPx6gb2F,Don Hồ,vietnamese pop,,,,30.0,7265.0,19.0,,10
2538,2136aBlaszw4fPTquVixoP,Lan Phương,,,,,0.0,16.0,0.0,,10
2539,49vOeJAPxAz6YmVZPNM7ys,Huh Gak,k-pop,korean pop,,,42.0,78239.0,18.0,,1
2540,4VH2QabEORUUhN1F1cYQ6N,Reamonn,german pop,german pop rock,,,48.0,80707.0,7.0,,20
